Protein names	Gene names	PEP	log2 H/L Sample HA_IP
Ubiquitin-like protein 5	"Ubl5;Gm16381"	0,0042119	1,695909562
COP9 signalosome complex subunit 7a	Cops7a	0,00091948	1,685106295
	Slc1a5	9,78E-18	1,675074216
X-ray repair cross-complementing protein 6	Xrcc6	0,0019395	1,659722595
Cytosolic Fe-S cluster assembly factor NUBP2	Nubp2	0,0002841	1,632986857
	Naglu	4,12E-07	1,60024921
"Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2"	Hsd17b4	0,00072652	1,576862907
Signal recognition particle subunit SRP72	Srp72	0,005992	1,56260179
Sulfiredoxin-1	Srxn1	0,00016122	1,502464274
COMM domain-containing protein 3	Commd3	0,0049815	1,50074853
Proteasomal ubiquitin receptor ADRM1	Adrm1	0,00036688	1,499401876
ADP-sugar pyrophosphatase	Nudt5	0,00088238	1,474813105
Mitochondrial ribonuclease P protein 1	Trmt10c	2,12E-05	1,472289054
Nicotinamide phosphoribosyltransferase	Nampt	0,0014579	1,40927823
LanC-like protein 1	Lancl1	0,01007	1,405107538
Thioredoxin reductase 1, cytoplasmic	Txnrd1	1,48E-07	1,401558564
Cochlin	Coch	0,00091355	1,38488508
COMM domain-containing protein 8	Commd8	0,0006399	1,359638207
E3 ubiquitin-protein ligase TRIM21	Trim21	0,0027856	1,330900648
Thioredoxin-like protein 1	Txnl1	0,0080886	1,320666289
Interferon regulatory factor 2-binding protein-like	Irf2bpl	2,97E-07	1,294951029
GDP-mannose 4,6 dehydratase	Gmds	0,0052037	1,271809542
"Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12"	Casp3	0,0068953	1,26600364
Sperm-associated antigen 7	Spag7	0,00053115	1,26375016
HIG1 domain family member 1A, mitochondrial	Higd1a	5,50E-25	1,2610852
Xaa-Pro dipeptidase	Pepd	4,29E-05	1,258839383
Thioredoxin-related transmembrane protein 1	Tmx1	0,00020188	1,24406986
Small acidic protein	"1110004F10Rik;Smap"	3,38E-17	1,201310734
G-protein-signaling modulator 1	Gpsm1	0,0001554	1,179808781
	"Gm20464;Rhox2a;Rhox2;Rhox2c;Rhox2f"	0,0080827	1,17107601
Mitogen-activated protein kinase 8	Mapk8	0,010289	1,151137736
Aldose reductase	Akr1b1	0,00012866	1,146531242
SET and MYND domain-containing protein 5	Smyd5	9,03E-05	1,134920528
SEC23-interacting protein	Sec23ip	0,0022644	1,104666353
Probable cationic amino acid transporter	Slc7a14	0,0086551	1,100762486
Ubiquitin-conjugating enzyme E2 variant 1	Ube2v1	0,003818	1,088101375
Protein FAM168A	Fam168a	0,0014866	1,076097809
Set1/Ash2 histone methyltransferase complex subunit ASH2	Ash2l	0,0013399	1,049068803
Iron-sulfur cluster assembly 1 homolog, mitochondrial	"Isca1;AK157302"	0,007959	1,047755906
Protein FAM193A	Fam193a	0,0025773	1,011384382
Arsenite methyltransferase	As3mt	5,95E-21	1,010483107
[Protein ADP-ribosylarginine] hydrolase	Adprh	0,00018155	0,975198084
Cytochrome c oxidase copper chaperone	Cox17	5,27E-06	0,957803948
Fibroblast growth factor 22	Fgf22	0,0061962	0,947305889
Neuronal-specific septin-3	03-Sep	0,0033842	0,945832233
"Ubiquitin-conjugating enzyme E2 D2B;Ubiquitin-conjugating enzyme E2 D2;Ubiquitin-conjugating enzyme E2 D3"	"Ube2d2b;Ube2d2;Ube2d3"	0,0034288	0,928951305
Histidine triad nucleotide-binding protein 1	Hint1	0,0023495	0,925384961
10 kDa heat shock protein, mitochondrial	Hspe1	0,00068349	0,901445693
Glutathione reductase, mitochondrial	Gsr	1,22E-07	0,857678061
V-type proton ATPase subunit B, brain isoform	Atp6v1b2	3,81E-08	0,853944396
Proteasome inhibitor PI31 subunit	Psmf1	0,0029435	0,853240522
Myozenin-1	Myoz1	0,0048104	0,848089242
Opioid growth factor receptor	Ogfr	0,010289	0,836681616
Phosphotriesterase-related protein	Pter	0,00033098	0,825874861
GPI transamidase component PIG-S	Pigs	0,0028438	0,781404798
Alanine aminotransferase 2	Gpt2	0,00055094	0,779942511
Toll-interacting protein	Tollip	0,0057777	0,774848488
Proteasome assembly chaperone 1	Psmg1	0,00075751	0,756842777
Legumain	Lgmn	0,00016787	0,753482461
	Msrb3	0,00082442	0,747439013
Dual specificity protein phosphatase 12	Dusp12	0,0024217	0,726663153
Multiple myeloma tumor-associated protein 2 homolog	Mmtag2	0,0035207	0,700591209
Sepiapterin reductase	Spr	0,0059339	0,670750084
Exocyst complex component 4	Exoc4	0,0024007	0,646270214
	2700097O09Rik	0,0010394	0,547847404
NF-kappa-B inhibitor alpha	Nfkbia	0,00089887	0,345839459
"Polycomb complex protein BMI-1;Polycomb group RING finger protein 2"	"Bmi1;Pcgf2"	0,0026149	0,314158501
	Bms1	0,007474	0,309341544
Synaptogyrin-3	Syngr3	0,00026021	0,190404458
Transmembrane and TPR repeat-containing protein 3	Tmtc3	0,0078214	-0,010206943
Histone H1.0	H1f0	0,0032914	-0,51893793
Ras-related protein Rab-21	Rab21	0,0035687	-0,594644089
7-methylguanosine phosphate-specific 5-nucleotidase	Nt5c3b	0,0052611	-1,165236648
Leucine-rich repeat-containing protein 41	Lrrc41	0,0050159	-1,445567807
Integrator complex subunit 12	Ints12	0,0073146	-2,963215155
Lipase member M	Lipm	0,0047766	-3,405175509
